Nome,Sigla,Data,Dia_semana,Max_Dia,Min_Dia,Valor_abertura,Valor_fechamento,Volume_negociacao,Valor_Mercado
Litecoin,LTC,15/10/2017,Domingo,70.09380340576172,62.54940032958984,64.12660217285156,65.46739959716797,453940000.0,3495462090.38
Litecoin,LTC,16/10/2017,Segunda-feira,66.33580017089844,62.69129943847656,65.71829986572266,64.62190246582031,200428000.0,3451297831.73
Litecoin,LTC,17/10/2017,Terça-feira,64.69550323486328,58.85390090942383,64.67320251464844,59.479000091552734,205363008.0,3177462297.9
Litecoin,LTC,18/10/2017,Quarta-feira,61.74760055541992,53.793701171875,59.58689880371094,60.73080062866211,283868992.0,3245232732.28
Litecoin,LTC,19/10/2017,Quinta-feira,61.29219818115234,58.70849990844727,60.8218002319336,59.73970031738281,160943008.0,3193124742.71
Litecoin,LTC,20/10/2017,Sexta-feira,61.88420104980469,58.56340026855469,59.80979919433594,60.33060073852539,150542000.0,3225577482.02
Litecoin,LTC,21/10/2017,Sábado,60.52099990844727,56.83409881591797,60.30379867553711,58.20180130004883,139503008.0,3112605047.2
Litecoin,LTC,22/10/2017,Domingo,58.65069961547852,56.43790054321289,58.27190017700195,56.807899475097656,96781400.0,3038822573.09
Litecoin,LTC,23/10/2017,Segunda-feira,56.77069854736328,52.87239837646485,56.77069854736328,54.92020034790039,177315008.0,2938685569.52
Litecoin,LTC,24/10/2017,Terça-feira,59.10129928588867,53.29449844360352,54.95949935913086,55.96319961547852,199788992.0,2995287986.39
Litecoin,LTC,25/10/2017,Quarta-feira,56.5801010131836,54.09400177001953,55.951698303222656,56.49430084228516,114510000.0,3024524456.71
Litecoin,LTC,26/10/2017,Quinta-feira,57.14540100097656,55.277099609375,56.46860122680664,55.73799896240234,81104704.0,2984809327.49
Litecoin,LTC,27/10/2017,Sexta-feira,56.25400161743164,55.15430068969727,55.673099517822266,55.332401275634766,78923104.0,2963913613.34
Litecoin,LTC,28/10/2017,Sábado,56.13180160522461,54.57320022583008,55.3843002319336,54.69390106201172,71063200.0,2930569299.92
Litecoin,LTC,29/10/2017,Domingo,57.75199890136719,54.493499755859375,54.6697998046875,57.10639953613281,138340000.0,3060676463.04
Litecoin,LTC,30/10/2017,Segunda-feira,58.549598693847656,56.235801696777344,56.8401985168457,56.39049911499024,129287000.0,3023193804.08
Litecoin,LTC,31/10/2017,Terça-feira,56.78710174560547,55.71760177612305,56.3650016784668,55.75410079956055,99381104.0,2989858626.79
Litecoin,LTC,01/11/2017,Quarta-feira,55.740699768066406,53.18080139160156,55.740699768066406,53.18080139160156,112759000.0,2852614515.48
Litecoin,LTC,02/11/2017,Quinta-feira,55.27750015258789,50.85049819946289,53.559200286865234,54.737300872802734,221076992.0,2936796128.63
Litecoin,LTC,03/11/2017,Sexta-feira,56.29209899902344,54.28390121459961,54.57820129394531,56.181400299072266,150030000.0,3015087607.96
Litecoin,LTC,29/10/2018,Segunda-feira,52.0302,48.6542,51.8327,49.0714,373076000.0,2892215652.44
Litecoin,LTC,04/11/2017,Sábado,56.36880111694336,54.9364013671875,56.21590042114258,55.037200927734375,83633104.0,2954562413.33
Litecoin,LTC,05/11/2017,Domingo,55.47679901123047,54.62810134887695,55.02569961547852,54.74639892578125,84302000.0,2939687733.86
Litecoin,LTC,06/11/2017,Segunda-feira,56.173099517822266,53.94570159912109,54.75920104980469,55.17369842529297,133918000.0,2963390868.47
Litecoin,LTC,07/11/2017,Terça-feira,63.81050109863281,54.98529815673828,54.987701416015625,61.29520034790039,402670016.0,3293059021.4
Litecoin,LTC,08/11/2017,Quarta-feira,64.06500244140625,60.790000915527344,61.11299896240234,62.57310104370117,349454016.0,3362586559.96
Litecoin,LTC,09/11/2017,Quinta-feira,66.83830261230469,61.72579956054688,62.48960113525391,64.26969909667969,279652992.0,3454692871.37
Litecoin,LTC,10/11/2017,Sexta-feira,65.89640045166016,56.91320037841797,64.43620300292969,59.260101318359375,291596000.0,3186381939.3
Litecoin,LTC,11/11/2017,Sábado,63.71160125732422,59.2421989440918,59.348899841308594,62.30329895019531,272494016.0,3350986564.96
Litecoin,LTC,12/11/2017,Domingo,62.309200286865234,57.41339874267578,62.309200286865234,59.005401611328125,322820000.0,3174662070.64
Litecoin,LTC,13/11/2017,Segunda-feira,62.76440048217773,58.84870147705078,59.17580032348633,61.39649963378906,237478000.0,3304148264.68
Litecoin,LTC,14/11/2017,Terça-feira,63.81240081787109,60.8661003112793,61.64289855957031,62.67959976196289,174111008.0,3374058999.97
Litecoin,LTC,15/11/2017,Quarta-feira,65.52469635009766,62.70880126953125,62.77519989013672,63.82360076904297,194636000.0,3436473712.38
Litecoin,LTC,16/11/2017,Quinta-feira,72.4791030883789,62.93740081787109,63.80910110473633,71.0602035522461,418128992.0,3827031146.1
